
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
      0     0.00       0.00       0.00       0 …52 
      0     0.00       8.95       0.70     677   1 AccessibilityUIServer
      0     0.00       0.00       0.00     426 426 accessoryd
      0     0.00       0.00       0.00     342 342 accessoryupdaterd
      0     0.00      22.25      28.93     635   1 accountsd
      0     0.00       1.50       0.10   19754 …54 AccountSubscriber
      0     0.00       0.00       0.00     969 550 acumbrellaagent
      0     0.00       0.00       0.00     810 810 adid
      0     0.00       3.77       0.82    1001   1 adprivacyd
      0     0.00       7.00       0.48     842   1 AirPlayUIAgent
      0     0.00       0.00       0.00     401 401 AirPlayXPCHelper
      0     0.00       0.00       0.00     453 453 airportd
      0     0.00      16.36       4.83     747   1 akd
      0     0.00       0.00       0.00     349 349 amfid
      0     0.00       1.03       0.10   19819   1 AMPArtworkAgent
      0     0.00       3.42       0.17     695   1 AMPDeviceDiscoveryAgent
      0     0.00       9.41       1.91   19816   1 AMPLibraryAgent
      0     0.00       8.77       2.72     779   1 amsaccountsd
      0     0.00       7.25      12.27     787   1 amsengagementd
      0     0.00       3.39       1.68    1216   1 amsondevicestoraged
      0     0.00       1.83       0.12     970   1 analyticsagent
      0     0.00       0.00       0.00     415 415 analyticsd
      0     0.00       0.00       0.00   17195 …95 ANECompilerService
      0     0.00       0.00       0.00     870 870 aned
      0     0.00       0.00       0.00   20300 …00 ANEStorageMaintainer
      0     0.00       0.00       0.00   20307 …07 ANEStorageMaintainer
      0     0.00       0.00       0.00    1104 …04 aneuserd
      0     0.00     546.22       1.05   31551   1 aomhost
      0     0.00      61.61      32.68   31553   1 aomhost
      0     0.00      68.19     276.29   31563   1 aomhost
      0     0.00      82.75       2.13   31571   1 aomhost
      0     0.00      54.67       0.52   31596   1 aomhost
      0     0.00       0.00       0.00     421 421 apfsd
      0     0.00       0.91       0.03     638   1 APFSUserAgent
      0     0.00      10.05       0.76     802   1 appleaccountd
      0     0.00       0.00       0.00     388 388 AppleCredentialManagerDaemon
      0     0.00       0.00       0.00     552 552 AppleDeviceQueryService
      0     0.00       0.00       0.00     528 528 appleeventsd
      0     0.00       0.00       0.00     536 536 appleh13camerad
      0     0.00      19.89       1.89   22758 …58 AppleIDSettings
      0     0.00       0.00       0.00     611 611 applekeystored
      0     0.00     235.09      36.79   22430   1 AppleSpell
      0     0.00       0.97       0.05     823   1 appplaceholdersyncd
      0     0.00      11.23      10.56    1116 …16 AppPredictionIntentsHelperService
      0     0.00       7.55       0.68     734   1 AppSSOAgent
      0     0.00       0.00       0.00     740 740 AppSSODaemon
      0     0.00       9.05       5.73     994   1 appstoreagent
      0     0.00       0.00       0.00     374 374 apsd
      0     0.00       0.83       0.13   19759 …59 ASConfigurationSubscriber
      0     0.00       3.48       1.63     840   1 askpermissiond
      0     0.00       0.00       0.00     403 403 aslmanager
      0     0.00       0.00       0.00    1422 …22 ASPCarryLog
      0     0.00       0.97       0.06     654   1 assessmentagent
      0     0.00       0.00       0.00     820 820 AssetCache
      0     0.00       3.00       0.34     818   1 AssetCacheLocatorService
      0     0.00       0.00       0.00    1113 …13 AssetCacheLocatorService
      0     0.00       0.00       0.00     961 961 AssetCacheTetheratorService
      0     0.00       0.00       0.00    1007 …07 assetsubscriptiond
      0     0.00      20.28       8.16     789   1 assistantd
      0     0.00      11.95       0.36     770   1 assistant_cdmd
      0     0.00       0.02       0.08     949 949 AUCrashHandlerService
      0     0.00      13.83       4.52     713   1 audioaccessoryd
      0     0.00       0.00       0.00     591 591 audioanalyticsd
      0     0.00       0.00       0.00     539 539 audioclocksyncd
      0     0.00       0.00       0.00     529 529 AudioComponentRegistrar
      0     0.00       3.91       0.17     720   1 AudioComponentRegistrar
      0     0.00       0.00       0.00     527 527 audiomxd
      0     0.00       0.05       0.21    7354 …54 AudiovisualThumbnailExtension
      0     0.00       0.00       0.00     484 484 authd
      0     0.00       8.09       0.88    1367   1 AuthenticationServicesAgent
      0     0.00       0.00       0.00     383 383 autofsd
      0     0.00       0.00       0.00     691 691 automountd
      0     0.00       1.80       0.20   20320   1 avatarsd
      0     0.00       4.75       0.54     814   1 avconferenced
      0     0.00      12.06       4.98     829   1 axassetsd
      0     0.00       2.08       0.28   19738   1 backgroundassets.user
      0     0.00       6.81       0.55     793   1 BackgroundTaskManagementAgent
      0     0.00       0.00       0.00     537 537 backgroundtaskmanagementd
      0     0.00       0.00       0.00     516 516 backupd
      0     0.00       0.00       0.00     440 440 backupd-helper
      0     0.00       2.92       0.07   14597   1 betaenrollmentagent
      0     0.00       0.00       0.00   14598 …98 betaenrollmentd
      0     0.00      14.59     107.16     630   1 BiomeAgent
      0     0.00       0.00       0.00     494 494 biomed
      0     0.00       1.00       0.14    1417 …17 BiomeSELFIngestor
      0     0.00       0.00       0.00     431 431 biometrickitd
      0     0.00      12.14       4.72     683   1 bird
      0     0.00       0.00       0.00   30928 …28 bluetoothd
      0     0.00       7.64       0.27     862   1 bluetoothuserd
      0     0.00       0.02       0.09    7358 …58 BooksThumbnail
      0     0.00       0.00       0.00     540 540 bootinstalld
      0     0.00       0.00       0.00     583 583 BTLEServer
      0     0.00       2.88       0.19    1731   1 BTLEServerAgent
      0     0.00       1.22       0.46    1176   1 businessservicesd
      0     0.00      13.72       4.96     689   1 calaccessd
      0     0.00       0.02       0.07    1072 …72 CalendarIntentsExtension
      0     0.00       0.02       0.36     786 786 CalendarWidgetExtension
      0     0.00      16.22       5.21     658   1 callservicesd
      0     0.00       0.00       0.00     560 560 cameracaptured
      0     0.00      31.02       0.12   31539   1 caphost
      0     0.00      31.17       0.16   31549   1 caphost
      0     0.00       0.00       0.00     762 762 captiveagent
      0     0.00       7.16       0.84     738   1 CategoriesService
      0     0.00       0.00       0.00   18478   1 CategoriesService
      0     0.00       8.61       0.80     716   1 cdpd
      0     0.00       0.00       0.00   32171 …71 CFNetworkAgent
      0     0.00       0.00       0.00     407 407 cfprefsd
      0     0.00       0.00       0.00     564   1 cfprefsd
      0     0.00       0.00       0.00     589   1 cfprefsd
      0     0.00      10.61      30.99     614   1 cfprefsd
      0     0.00       0.00       0.00   19407   1 cfprefsd
      0     0.00       0.00       0.00   20269   1 cfprefsd
      0     0.00       0.00       0.00   20270   1 cfprefsd
      0     0.00       0.00       0.00   20271   1 cfprefsd
      0     0.00       0.00       0.00   20272   1 cfprefsd
      0     0.00       0.00       0.00   20273   1 cfprefsd
      0     0.00       0.00       0.00   20280   1 cfprefsd
      0     0.00       0.00       0.00   20281   1 cfprefsd
      0     0.00       0.00       0.00   20282   1 cfprefsd
      0     0.00       0.00       0.00   20301   1 cfprefsd
      0     0.00       0.86       0.08   22715 …15 CGPDFService
      0     0.00      29.62      26.16     836   1 ChatGPTHelper
      0     0.00       1.94       0.07   13436 …35 chrome_crashpad_handler
      0     0.00       1.94       0.05   21860 …59 chrome_crashpad_handler
      0     0.00      25.58      15.39     721   1 chronod
      0     0.00       2.83       1.20   19821   1 ciphermld
      0     0.00      45.84     527.75    9789   1 Cisco Secure Client
      0     0.00       6.92       0.30   22766 …66 ClassroomSettings
      0     0.00       0.00       0.00     519 519 cloudd
      0     0.00      23.34      34.37     662   1 cloudd
      0     0.00      29.08      15.80     882   1 Cloudflare WARP
      0     0.00       0.00       0.00     556 556 CloudflareWARP
      0     0.00       6.42       0.54     990   1 cloudphotod
      0     0.00       0.00       0.00     551 551 CloudTelemetryService
      0     0.00      12.00       2.77     739 739 CloudTelemetryService
      0     0.00       6.11       0.57     914 914 CloudTelemetryService
      0     0.00       0.00       0.00    1010 …10 CloudTelemetryService
      0     0.00       3.48       0.12   20306 …06 CloudTelemetryService
      0     0.00       2.31       0.15   20314 …14 CloudTelemetryService
      0     0.00       0.95       0.04     707   1 CMFSyncAgent
      0     0.00       0.00       0.00     501 501 colorsync.displayservices
      0     0.00       2.08       0.07    1160   1 colorsync.useragent
      0     0.00       0.00       0.00     510 510 colorsyncd
      0     0.00       2.08       0.06    1170   1 com.apple.accessibility.mediaaccessibilityd
      0     0.00       0.00       0.00   20663 …63 com.apple.AmbientDisplayAgent
